timestamp,second,camera_index,width,height,target_fps,mode,infer_skip,model_complexity,max_num_hands,jpeg_quality,video_enabled,camera_fps,process_fps,infer_fps,ws_fps,mjpeg_fps,cpu_percent,memory_mb,read_ms,preprocess_ms,inference_ms,encode_ms,loop_ms,area,scale,motion,clients,frame_shape,hand_detected,landmark_count,pinch_distance,confidence
1781518160.074,1,0,640,480,10.0,opencv,3,0,1,50,True,10.179,10.179,0.0,10.179,10.179,38.6,52.9,3.895,29.759,10.716,14.505,59.265,1947.409,0.662,0.727,0,480x640x3,0,0.0,0.0,
1781518161.077,2,0,640,480,10.0,opencv,3,0,1,50,True,9.235,9.235,0.0,9.235,9.235,40.3,52.8,3.616,28.756,10.711,14.528,58.012,1661.75,0.64,0.6,0,480x640x3,0,0.0,0.0,
1781518162.077,3,0,640,480,10.0,opencv,3,0,1,50,True,9.228,9.228,0.0,9.228,9.228,39.7,53.0,3.679,28.15,10.696,14.512,57.451,1730.1,0.648,0.7,0,480x640x3,0,0.0,0.0,
1781518163.078,4,0,640,480,10.0,opencv,3,0,1,50,True,9.227,9.227,0.0,9.227,9.227,42.0,53.1,3.717,28.314,10.659,14.558,57.65,1739.5,0.661,0.4,0,480x640x3,0,0.0,0.0,
1781518164.077,5,0,640,480,10.0,opencv,3,0,1,50,True,9.234,9.234,0.0,9.234,9.234,43.7,53.2,3.659,28.107,10.772,14.556,57.504,1730.1,0.652,0.7,0,480x640x3,0,0.0,0.0,
1781518165.078,6,0,640,480,10.0,opencv,3,0,1,50,True,9.226,9.226,0.0,9.226,9.226,45.1,52.9,3.613,28.302,10.661,14.561,57.557,1270.55,0.638,0.4,0,480x640x3,0,0.0,0.0,
1781518166.079,7,0,640,480,10.0,opencv,3,0,1,50,True,9.213,9.213,0.0,9.213,9.213,46.0,53.1,3.674,28.247,10.693,14.553,57.587,1780.05,0.655,0.5,0,480x640x3,0,0.0,0.0,
1781518167.083,8,0,640,480,10.0,opencv,3,0,1,50,True,9.178,9.178,0.0,9.178,9.178,47.3,52.9,3.72,28.73,10.839,14.501,58.209,64882.9,1.2,0.8,0,480x640x3,0,0.0,0.0,
1781518168.005,9,0,640,480,10.0,opencv,3,0,1,50,True,8.899,8.899,0.0,8.899,8.899,46.9,53.2,5.385,29.064,10.774,14.524,60.154,2020.389,0.67,0.778,0,480x640x3,0,0.0,0.0,
1781518168.997,10,0,640,480,10.0,opencv,3,0,1,50,True,9.972,9.972,0.0,9.972,9.972,57.5,53.1,4.077,42.556,10.662,14.528,72.243,1314.6,0.63,0.5,0,480x640x3,0,0.0,0.0,
