timestamp,second,camera_index,width,height,target_fps,mode,infer_skip,model_complexity,max_num_hands,jpeg_quality,video_enabled,camera_fps,process_fps,infer_fps,ws_fps,mjpeg_fps,cpu_percent,memory_mb,read_ms,preprocess_ms,inference_ms,encode_ms,loop_ms,area,scale,motion,clients,frame_shape,hand_detected,landmark_count,pinch_distance,confidence
1781518186.552,1,0,640,480,10.0,opencv,3,0,1,90,True,9.857,9.857,0.0,9.857,9.857,38.2,52.3,31.553,27.986,10.687,15.351,85.995,2321.25,0.692,0.7,0,480x640x3,0,0.0,0.0,
1781518187.553,2,0,640,480,10.0,opencv,3,0,1,90,True,9.849,9.849,0.0,9.849,9.849,39.2,53.3,30.822,27.631,10.712,15.336,84.913,2809.35,0.715,0.8,0,480x640x3,0,0.0,0.0,
1781518188.554,3,0,640,480,10.0,opencv,3,0,1,90,True,9.846,9.846,0.0,9.846,9.846,38.8,53.4,30.207,27.586,10.678,15.336,84.182,1637.5,0.648,0.5,0,480x640x3,0,0.0,0.0,
1781518189.557,4,0,640,480,10.0,opencv,3,0,1,90,True,9.812,9.812,0.0,9.812,9.812,39.9,53.2,31.269,27.466,10.714,15.358,85.193,3613.25,0.774,0.8,0,480x640x3,0,0.0,0.0,
1781518190.559,5,0,640,480,10.0,opencv,3,0,1,90,True,9.794,9.794,0.0,9.794,9.794,45.1,53.2,33.027,27.538,10.753,15.367,87.077,3524.6,0.764,0.9,0,480x640x3,0,0.0,0.0,
1781518191.559,6,0,640,480,10.0,opencv,3,0,1,90,True,9.791,9.791,0.0,9.791,9.791,44.8,53.3,33.193,27.526,10.727,15.378,87.236,1603.9,0.634,0.7,0,480x640x3,0,0.0,0.0,
1781518192.56,7,0,640,480,10.0,opencv,3,0,1,90,True,9.785,9.785,0.0,9.785,9.785,45.6,53.4,32.724,27.484,10.703,15.403,86.724,1952.9,0.668,0.7,0,480x640x3,0,0.0,0.0,
1781518193.576,8,0,640,480,10.0,opencv,3,0,1,90,True,9.634,9.634,0.0,9.634,9.634,47.0,53.1,31.887,29.002,10.697,15.414,87.385,1725.3,0.651,0.5,0,480x640x3,0,0.0,0.0,
1781518194.579,9,0,640,480,10.0,opencv,3,0,1,90,True,9.608,9.608,0.0,9.608,9.608,54.5,53.3,26.663,39.474,10.714,15.909,93.17,1699.0,0.651,0.7,0,480x640x3,0,0.0,0.0,
1781518195.578,10,0,640,480,10.0,opencv,3,0,1,90,True,9.612,9.612,0.0,9.612,9.612,53.0,53.2,26.461,41.022,10.657,16.1,94.64,1120.7,0.628,0.4,0,480x640x3,0,0.0,0.0,
