timestamp,second,camera_index,width,height,target_fps,mode,infer_skip,model_complexity,max_num_hands,jpeg_quality,video_enabled,camera_fps,process_fps,infer_fps,ws_fps,mjpeg_fps,cpu_percent,memory_mb,read_ms,preprocess_ms,inference_ms,encode_ms,loop_ms,area,scale,motion,clients,frame_shape,hand_detected,landmark_count,pinch_distance,confidence
1781518106.964,1,0,480,360,10.0,opencv,3,0,1,70,False,10.116,10.116,0.0,10.116,0.0,22.6,48.9,24.085,14.871,4.652,0.0,43.762,333.773,0.6,0.0,0,288x352x3,0,0.0,0.0,
1781518107.959,2,0,480,360,10.0,opencv,3,0,1,70,False,9.241,9.241,0.0,9.241,0.0,30.1,49.1,1.539,17.375,5.734,0.0,24.814,502.6,0.6,0.0,0,288x352x3,0,0.0,0.0,
1781518108.961,3,0,480,360,10.0,opencv,3,0,1,70,False,9.224,9.224,0.0,9.224,0.0,25.1,49.1,1.352,17.413,5.7,0.0,24.658,895.65,0.604,0.3,0,288x352x3,0,0.0,0.0,
1781518109.963,4,0,480,360,10.0,opencv,3,0,1,70,False,9.202,9.202,0.0,9.202,0.0,24.7,49.1,1.349,17.587,5.939,0.0,25.052,20244.35,1.178,0.6,0,288x352x3,0,0.0,0.0,
1781518110.965,5,0,480,360,10.0,opencv,3,0,1,70,False,9.188,9.188,0.0,9.188,0.0,29.1,49.1,1.331,17.897,5.835,0.0,25.231,637.7,0.602,0.2,0,288x352x3,0,0.0,0.0,
1781518111.984,6,0,480,360,10.0,opencv,3,0,1,70,False,7.226,7.226,0.0,7.226,0.0,21.7,49.1,78.567,17.978,6.021,0.0,102.742,626.125,0.602,0.125,0,288x352x3,0,0.0,0.0,
1781518112.887,7,0,480,360,10.0,opencv,3,0,1,70,False,8.906,8.906,0.0,8.906,0.0,27.9,49.1,71.556,17.291,5.782,0.0,94.794,663.889,0.6,0.0,0,288x352x3,0,0.0,0.0,
1781518113.888,8,0,480,360,10.0,opencv,3,0,1,70,False,9.889,9.889,0.0,9.889,0.0,29.5,49.1,71.689,17.462,5.887,0.0,95.206,644.65,0.606,0.2,0,288x352x3,0,0.0,0.0,
1781518114.888,9,0,480,360,10.0,opencv,3,0,1,70,False,9.888,9.888,0.0,9.888,0.0,30.8,49.1,70.388,17.515,5.839,0.0,93.911,736.15,0.608,0.2,0,288x352x3,0,0.0,0.0,
1781518115.888,10,0,480,360,10.0,opencv,3,0,1,70,False,8.895,8.895,0.0,8.895,0.0,30.0,49.1,79.016,17.757,5.982,0.0,102.93,827.056,0.616,0.333,0,288x352x3,0,0.0,0.0,
