timestamp,second,camera_index,width,height,target_fps,mode,infer_skip,model_complexity,max_num_hands,jpeg_quality,video_enabled,camera_fps,process_fps,infer_fps,ws_fps,mjpeg_fps,cpu_percent,memory_mb,read_ms,preprocess_ms,inference_ms,encode_ms,loop_ms,area,scale,motion,clients,frame_shape,hand_detected,landmark_count,pinch_distance,confidence
1781518066.824,1,0,160,120,5.0,opencv,3,0,1,70,False,5.332,5.332,0.0,5.332,0.0,6.6,47.2,0.61,5.169,1.073,0.0,6.967,0.0,0.6,0.0,0,120x160x3,0,0.0,0.0,
1781518067.825,2,0,160,120,5.0,opencv,3,0,1,70,False,4.438,4.438,0.0,4.438,0.0,9.7,47.2,0.731,6.426,1.256,0.0,8.538,0.0,0.6,0.0,0,120x160x3,0,0.0,0.0,
1781518068.826,3,0,160,120,5.0,opencv,3,0,1,70,False,4.435,4.435,0.0,4.435,0.0,6.6,47.2,0.92,6.206,1.617,0.0,8.887,0.0,0.6,0.0,0,120x160x3,0,0.0,0.0,
1781518069.827,4,0,160,120,5.0,opencv,3,0,1,70,False,4.428,4.428,0.0,4.428,0.0,5.0,47.2,0.967,5.673,1.763,0.0,8.554,0.0,0.6,0.0,0,120x160x3,0,0.0,0.0,
1781518070.83,5,0,160,120,5.0,opencv,3,0,1,70,False,4.417,4.417,0.0,4.417,0.0,5.0,47.2,0.995,5.647,2.659,0.0,9.456,50.6,0.6,0.0,0,120x160x3,0,0.0,0.0,
1781518071.831,6,0,160,120,5.0,opencv,3,0,1,70,False,4.415,4.415,0.0,4.415,0.0,5.3,47.2,0.993,5.368,1.694,0.0,8.203,0.0,0.6,0.0,0,120x160x3,0,0.0,0.0,
1781518072.833,7,0,160,120,5.0,opencv,3,0,1,70,False,4.405,4.405,0.0,4.405,0.0,4.3,47.2,1.019,5.834,1.815,0.0,8.822,34.6,0.6,0.0,0,120x160x3,0,0.0,0.0,
1781518073.835,8,0,160,120,5.0,opencv,3,0,1,70,False,4.4,4.4,0.0,4.4,0.0,6.0,47.2,1.035,5.752,1.792,0.0,8.734,0.0,0.6,0.0,0,120x160x3,0,0.0,0.0,
1781518074.835,9,0,160,120,5.0,opencv,3,0,1,70,False,4.397,4.397,0.0,4.397,0.0,4.8,47.2,0.967,5.431,1.735,0.0,8.277,0.0,0.6,0.0,0,120x160x3,0,0.0,0.0,
