timestamp,second,camera_index,width,height,target_fps,mode,infer_skip,model_complexity,max_num_hands,jpeg_quality,video_enabled,camera_fps,process_fps,infer_fps,ws_fps,mjpeg_fps,cpu_percent,memory_mb,temp_c,throttled_raw,throttled_flags,read_ms,preprocess_ms,inference_ms,encode_ms,loop_ms,area,scale,motion,clients,frame_shape,hand_detected,landmark_count,pinch_distance,confidence
1781524009.732,1,1,640,480,10.0,opencv,3,0,1,50,True,9.962,9.962,0.0,9.962,9.962,39.1,53.0,56.9,0x80000,throttled,3.988,30.337,12.17,14.514,61.508,28808.65,1.491,1.0,0,480x640x3,0,0.0,0.0,
1781524010.73,2,1,640,480,10.0,opencv,3,0,1,50,True,9.972,9.972,0.0,9.972,9.972,46.8,52.7,56.9,0x80000,throttled,3.616,28.263,11.198,14.629,58.115,12183.25,1.285,1.0,0,480x640x3,0,0.0,0.0,
1781524011.755,3,1,640,480,10.0,opencv,3,0,1,50,True,9.74,9.74,0.0,9.74,9.74,53.9,52.4,56.9,0x80000,throttled,3.821,43.196,11.041,14.598,73.069,8427.85,1.086,1.0,0,480x640x3,0,0.0,0.0,
1781524012.751,4,1,640,480,10.0,opencv,3,0,1,50,True,9.775,9.775,0.0,9.775,9.775,53.8,52.7,56.4,0x80000,throttled,3.793,45.052,11.244,14.585,75.081,18428.6,1.31,1.0,0,480x640x3,0,0.0,0.0,
1781524013.751,5,1,640,480,10.0,opencv,3,0,1,50,True,9.77,9.77,0.0,9.77,9.77,53.0,52.8,56.9,0x80000,throttled,3.86,44.076,11.714,14.589,74.656,8750.6,1.108,1.0,0,480x640x3,0,0.0,0.0,
1781524014.754,6,1,640,480,10.0,opencv,3,0,1,50,True,9.745,9.745,0.0,9.745,9.745,48.6,52.9,56.9,0x80000,throttled,3.689,28.179,11.471,14.635,58.399,9527.95,1.161,1.0,0,480x640x3,0,0.0,0.0,
1781524015.754,7,1,640,480,10.0,opencv,3,0,1,50,True,9.74,9.74,0.0,9.74,9.74,46.1,52.6,57.5,0x80000,throttled,3.666,29.882,11.16,14.6,59.721,6590.15,0.963,1.0,0,480x640x3,0,0.0,0.0,
1781524016.756,8,1,640,480,10.0,opencv,3,0,1,50,True,9.727,9.727,0.0,9.727,9.727,46.9,52.6,56.4,0x80000,throttled,3.649,29.195,11.526,14.596,59.391,9507.7,1.139,1.0,0,480x640x3,0,0.0,0.0,
1781524017.755,9,1,640,480,10.0,opencv,3,0,1,50,True,9.729,9.729,0.0,9.729,9.729,44.8,52.6,56.4,0x80000,throttled,3.639,28.365,11.189,14.63,58.24,7323.9,1.012,1.0,0,480x640x3,0,0.0,0.0,
1781524018.756,10,1,640,480,10.0,opencv,3,0,1,50,True,9.73,9.73,0.0,9.73,9.73,40.4,52.8,56.9,0x80000,throttled,3.659,28.072,10.977,14.634,57.749,5594.9,0.896,1.0,0,480x640x3,0,0.0,0.0,
