timestamp,second,camera_index,width,height,target_fps,mode,infer_skip,model_complexity,max_num_hands,jpeg_quality,video_enabled,camera_fps,process_fps,infer_fps,ws_fps,mjpeg_fps,cpu_percent,memory_mb,temp_c,throttled_raw,throttled_flags,read_ms,preprocess_ms,inference_ms,encode_ms,loop_ms,area,scale,motion,clients,frame_shape,hand_detected,landmark_count,pinch_distance,confidence
1781519526.162,1,0,640,480,10.0,opencv,3,0,1,50,True,8.85,8.85,0.0,8.85,8.85,33.4,52.8,52.6,0x0,ok,54.232,38.58,11.051,14.4,118.64,8927.111,1.067,0.333,0,480x640x3,0,0.0,0.0,
1781519527.251,2,0,640,480,10.0,opencv,3,0,1,50,True,8.15,8.15,0.0,8.15,8.15,43.3,52.4,52.6,0x0,ok,51.827,37.976,10.539,14.437,115.215,654.944,0.634,0.111,0,480x640x3,0,0.0,0.0,
1781519528.201,3,0,640,480,10.0,opencv,3,0,1,50,True,7.573,7.573,0.0,7.573,7.573,35.0,52.4,52.6,0x0,ok,56.339,29.424,10.502,14.393,111.133,344.125,0.603,0.25,0,480x640x3,0,0.0,0.0,
1781519529.162,4,0,640,480,10.0,opencv,3,0,1,50,True,7.87,7.87,0.0,7.87,7.87,39.9,52.4,52.6,0x0,ok,57.62,28.928,10.975,15.115,113.125,2.938,0.6,0.0,0,480x640x3,0,0.0,0.0,
1781519530.242,5,0,640,480,10.0,opencv,3,0,1,50,True,8.202,8.202,0.0,8.202,8.202,41.1,53.2,52.6,0x0,ok,58.678,30.107,11.303,15.032,115.588,0.0,0.6,0.0,0,480x640x3,0,0.0,0.0,
1781519531.202,6,0,640,480,10.0,opencv,3,0,1,50,True,7.565,7.565,0.0,7.565,7.565,39.4,53.0,53.2,0x0,ok,60.196,27.689,10.491,14.403,113.242,1.875,0.6,0.0,0,480x640x3,0,0.0,0.0,
1781519532.166,7,0,640,480,10.0,opencv,3,0,1,50,True,7.834,7.834,0.0,7.834,7.834,38.3,53.1,52.6,0x0,ok,54.569,29.584,11.606,16.089,112.347,5.75,0.6,0.0,0,480x640x3,0,0.0,0.0,
1781519533.249,8,0,640,480,10.0,opencv,3,0,1,50,True,8.175,8.175,0.0,8.175,8.175,34.2,52.4,53.2,0x0,ok,58.25,28.911,10.909,15.007,113.572,0.0,0.6,0.0,0,480x640x3,0,0.0,0.0,
1781519534.237,9,0,640,480,10.0,opencv,3,0,1,50,True,7.387,7.387,0.0,7.387,7.387,37.2,52.3,52.6,0x0,ok,58.854,30.44,11.458,15.51,116.767,0.0,0.6,0.0,0,480x640x3,0,0.0,0.0,
1781519535.169,10,0,640,480,10.0,opencv,3,0,1,50,True,7.81,7.81,0.0,7.81,7.81,36.2,52.4,52.6,0x0,ok,46.022,29.286,10.962,15.111,101.861,0.0,0.6,0.0,0,480x640x3,0,0.0,0.0,
