case,file,samples,mode,width,height,target_fps,infer_skip,model_complexity,max_num_hands,video_enabled,jpeg_quality,temp_c_mean,temp_c_max,throttled_seen,camera_fps,process_fps,infer_fps,ws_fps,mjpeg_fps,read_ms,preprocess_ms,inference_ms,encode_ms,loop_ms,cpu_percent,memory_mb,temp_c,area,scale,motion,clients,hand_detected,landmark_count,pinch_distance
opencv_usb_160x120_5fps,D:\Yhx06\Documents\全栈学习模板\个人博客网站\personal-blog\threejs-handtracking-101\perf_results_usb\run_002_temp_added\opencv_usb_160x120_5fps.csv,9,opencv,160,120,5.0,3,0,1,False,70,45.211111111111116,45.6,False,4.909,4.909,0.0,4.909,0.0,0.9169999999999999,5.906888888888889,1.6352222222222221,0.0,8.611,7.7,47.5,45.211111111111116,0.0,0.6,0.0,0.0,0.0,0.0,0.0
opencv_usb_320x240_10fps,D:\Yhx06\Documents\全栈学习模板\个人博客网站\personal-blog\threejs-handtracking-101\perf_results_usb\run_002_temp_added\opencv_usb_320x240_10fps.csv,10,opencv,320,240,10.0,3,0,1,False,70,46.13,46.7,False,7.8716,7.8716,0.0,7.8716,0.0,89.0649,15.1019,4.5528,0.0,108.8812,19.189999999999998,48.54,46.13,0.0,0.6,0.0,0.0,0.0,0.0,0.0
opencv_usb_320x240_5fps,D:\Yhx06\Documents\全栈学习模板\个人博客网站\personal-blog\threejs-handtracking-101\perf_results_usb\run_002_temp_added\opencv_usb_320x240_5fps.csv,9,opencv,320,240,5.0,3,0,1,False,70,46.05555555555556,46.7,False,4.5312222222222225,4.5312222222222225,0.0,4.5312222222222225,0.0,1.1085555555555555,12.481222222222222,4.312888888888889,0.0,18.07022222222222,11.988888888888889,48.955555555555556,46.05555555555556,0.0,0.6,0.0,0.0,0.0,0.0,0.0
opencv_usb_480x360_10fps,D:\Yhx06\Documents\全栈学习模板\个人博客网站\personal-blog\threejs-handtracking-101\perf_results_usb\run_002_temp_added\opencv_usb_480x360_10fps.csv,10,opencv,480,360,10.0,3,0,1,False,70,47.0,47.2,False,7.007,7.007,0.0,7.007,0.0,101.3104,14.7155,4.6156,0.0,120.7954,20.0,49.45,47.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0
opencv_usb_640x480_10fps,D:\Yhx06\Documents\全栈学习模板\个人博客网站\personal-blog\threejs-handtracking-101\perf_results_usb\run_002_temp_added\opencv_usb_640x480_10fps.csv,10,opencv,640,480,10.0,3,0,1,False,70,49.71,50.5,False,8.017,8.017,0.0,8.017,0.0,67.7317,33.3306,11.0789,0.0,112.5298,39.12,52.18,49.71,0.0,0.6,0.0,0.0,0.0,0.0,0.0
opencv_usb_640x480_10fps_jpeg50,D:\Yhx06\Documents\全栈学习模板\个人博客网站\personal-blog\threejs-handtracking-101\perf_results_usb\run_002_temp_added\opencv_usb_640x480_10fps_jpeg50.csv,10,opencv,640,480,10.0,3,0,1,True,50,52.72,53.2,False,7.9416,7.9416,0.0,7.9416,7.9416,55.658699999999996,31.0925,10.9796,14.9497,113.149,37.8,52.64,52.72,993.6743000000001,0.6504,0.0694,0.0,0.0,0.0,0.0
opencv_usb_640x480_10fps_jpeg70,D:\Yhx06\Documents\全栈学习模板\个人博客网站\personal-blog\threejs-handtracking-101\perf_results_usb\run_002_temp_added\opencv_usb_640x480_10fps_jpeg70.csv,10,opencv,640,480,10.0,3,0,1,True,70,53.160000000000004,53.7,False,7.9272,7.9272,0.0,7.9272,7.9272,55.5791,31.1428,10.8387,15.2775,113.2825,39.87,52.38,53.160000000000004,48.3278,0.6,0.0,0.0,0.0,0.0,0.0
opencv_usb_640x480_10fps_jpeg90,D:\Yhx06\Documents\全栈学习模板\个人博客网站\personal-blog\threejs-handtracking-101\perf_results_usb\run_002_temp_added\opencv_usb_640x480_10fps_jpeg90.csv,10,opencv,640,480,10.0,3,0,1,True,90,53.800000000000004,54.2,False,7.8608,7.8608,0.0,7.8608,7.8608,58.7218,29.1981,10.5289,15.1868,114.0688,36.31,52.26,53.800000000000004,0.9645,0.6,0.0,0.0,0.0,0.0,0.0
opencv_usb_640x480_15fps,D:\Yhx06\Documents\全栈学习模板\个人博客网站\personal-blog\threejs-handtracking-101\perf_results_usb\run_002_temp_added\opencv_usb_640x480_15fps.csv,10,opencv,640,480,15.0,3,0,1,False,70,50.74,51.5,False,7.8389,7.8389,0.0,7.8389,0.0,70.4278,33.647999999999996,11.1593,0.0,115.6437,38.58,51.82,50.74,0.0,0.6,0.0,0.0,0.0,0.0,0.0
opencv_usb_640x480_30fps,D:\Yhx06\Documents\全栈学习模板\个人博客网站\personal-blog\threejs-handtracking-101\perf_results_usb\run_002_temp_added\opencv_usb_640x480_30fps.csv,10,opencv,640,480,30.0,3,0,1,False,70,51.8,52.6,False,8.0255,8.0255,0.0,8.0255,0.0,70.9969,33.2618,11.358,0.0,116.0217,37.48,52.14,51.8,1456.1507,0.6827,0.0833,0.0,0.0,0.0,0.0
