timestamp,second,camera_index,width,height,target_fps,mode,infer_skip,model_complexity,max_num_hands,jpeg_quality,video_enabled,camera_fps,process_fps,infer_fps,ws_fps,mjpeg_fps,cpu_percent,memory_mb,temp_c,throttled_raw,throttled_flags,read_ms,preprocess_ms,inference_ms,encode_ms,loop_ms,area,scale,motion,clients,frame_shape,hand_detected,landmark_count,pinch_distance,confidence
1781676871.607,1,0,320,240,30.0,hybrid,15,0,1,70,True,16.474,16.474,1.647,16.474,16.474,29.7,130.9,48.3,0x50000,throttled,0.587,9.061,28.223,3.894,45.662,149.725,0.604,0.05,0,240x320x3,0.0,0,0.0,
1781676872.401,2,0,320,240,30.0,hybrid,15,0,1,70,True,14.876,14.876,0.992,14.876,14.876,38.8,130.9,49.4,0x50000,throttled,0.579,10.56,18.588,3.895,35.731,271.467,0.606,0.067,0,240x320x3,0.0,0,0.0,
1781676873.411,3,0,320,240,30.0,hybrid,15,0,1,70,True,21.604,21.604,0.982,21.604,21.604,39.2,130.8,49.4,0x50000,throttled,0.601,8.666,13.794,3.884,28.125,31.909,0.6,0.0,0,240x320x3,0.0,0,0.0,
1781676874.463,4,0,320,240,30.0,hybrid,15,0,1,70,True,20.676,20.676,0.985,20.676,20.676,33.6,130.9,49.4,0x50005,throttled,0.596,8.805,14.585,4.612,29.882,32.048,0.6,0.0,0,240x320x3,0.0,0,0.0,
1781676875.462,5,0,320,240,30.0,hybrid,15,0,1,70,True,8.84,8.84,0.982,8.84,8.84,41.3,131.0,48.3,0x50005,throttled,0.788,18.193,61.462,8.959,98.52,0.0,0.6,0.0,0,240x320x3,0.0,0,0.0,
1781676876.459,6,0,320,240,30.0,hybrid,15,0,1,70,True,8.875,8.875,0.986,8.875,8.875,40.3,131.1,48.3,0x50005,throttled,0.829,17.778,61.659,8.945,98.308,58.222,0.6,0.0,0,240x320x3,0.0,0,0.0,
1781676877.577,7,0,320,240,30.0,hybrid,15,0,1,70,True,11.885,11.885,0.849,11.885,11.885,46.8,131.1,48.3,0x50000,throttled,0.827,17.6,43.135,8.942,75.098,13.5,0.6,0.0,0,240x320x3,0.0,0,0.0,
1781676878.398,8,0,320,240,30.0,hybrid,15,0,1,70,True,19.893,19.893,0.995,19.893,19.893,32.8,130.9,47.8,0x50000,throttled,0.58,7.793,9.296,3.947,22.638,5721.475,0.81,0.6,0,240x320x3,0.0,0,0.0,
1781676879.549,9,0,320,240,30.0,hybrid,15,0,1,70,True,21.606,21.606,1.729,21.606,21.606,33.4,131.1,49.4,0x50000,throttled,0.595,8.078,14.156,4.171,28.959,9916.46,1.056,0.88,0,240x320x3,0.0,0,0.0,
1781676880.397,10,0,320,240,30.0,hybrid,15,0,1,70,True,15.924,15.924,0.995,15.924,15.924,31.8,130.8,49.4,0x50000,throttled,0.65,7.707,19.998,3.961,34.228,3008.406,0.712,0.125,0,240x320x3,0.0,0,0.0,
1781676881.418,11,0,320,240,30.0,hybrid,15,0,1,70,True,25.342,25.342,0.975,25.342,25.342,34.5,130.8,49.4,0x50000,throttled,0.566,8.31,7.771,4.147,21.574,240.269,0.607,0.077,0,240x320x3,0.0,0,0.0,
1781676882.417,12,0,320,240,30.0,hybrid,15,0,1,70,True,21.474,21.474,1.952,21.474,21.474,34.1,130.8,49.9,0x50000,throttled,0.579,8.133,13.668,4.265,28.796,246.682,0.601,0.045,0,240x320x3,0.0,0,0.0,
1781676883.406,13,0,320,240,30.0,hybrid,15,0,1,70,True,24.698,24.698,0.988,24.698,24.698,34.2,130.9,49.4,0x50000,throttled,0.592,8.334,7.971,4.225,21.941,276.28,0.608,0.08,0,240x320x3,0.0,0,0.0,
1781676884.418,14,0,320,240,30.0,hybrid,15,0,1,70,True,20.477,20.477,1.95,20.477,20.477,39.6,130.9,49.9,0x50000,throttled,0.623,10.964,15.909,3.95,34.186,11790.119,1.14,0.619,0,240x320x3,0.0,0,0.0,
1781676885.396,15,0,320,240,30.0,hybrid,15,0,1,70,True,20.928,20.928,0.997,20.928,20.928,39.6,130.9,49.9,0x50000,throttled,0.584,9.261,14.638,3.789,29.588,14507.69,1.387,1.0,0,240x320x3,0.0,0,0.0,
