timestamp,second,camera_index,width,height,target_fps,mode,infer_skip,model_complexity,max_num_hands,jpeg_quality,video_enabled,camera_fps,process_fps,infer_fps,ws_fps,mjpeg_fps,cpu_percent,memory_mb,temp_c,throttled_raw,throttled_flags,read_ms,preprocess_ms,inference_ms,encode_ms,loop_ms,area,scale,motion,clients,frame_shape,hand_detected,landmark_count,pinch_distance,confidence
1781684633.625,1,0,320,240,30.0,hybrid,15,0,1,70,True,22.387,22.387,1.947,22.387,22.387,32.0,124.6,49.4,0xd0000,throttled,0.565,8.114,13.247,4.082,28.025,1254.217,0.645,0.478,0,240x320x3,0.0,0,0.0,
1781684634.617,2,0,320,240,30.0,hybrid,15,0,1,70,True,23.447,23.447,0.977,23.447,23.447,31.0,124.7,49.9,0xd0000,throttled,0.74,8.185,9.521,3.805,23.146,227.896,0.612,0.042,0,240x320x3,0.0,0,0.0,
1781684635.602,3,0,320,240,30.0,hybrid,15,0,1,70,True,20.838,20.838,1.985,20.838,20.838,33.4,125.3,49.9,0xd0000,throttled,0.631,7.888,14.117,3.962,28.856,0.0,0.6,0.0,0,240x320x3,0.0,0,0.0,
1781684636.642,4,0,320,240,30.0,hybrid,15,0,1,70,True,25.208,25.208,0.97,25.208,25.208,34.1,125.1,49.9,0xd0000,throttled,0.59,8.386,7.824,4.041,21.626,0.0,0.6,0.0,0,240x320x3,0.0,0,0.0,
1781684637.623,5,0,320,240,30.0,hybrid,15,0,1,70,True,20.414,20.414,1.944,20.414,20.414,33.9,125.1,51.0,0xd0000,throttled,0.579,8.095,14.501,4.043,29.536,0.0,0.6,0.0,0,240x320x3,0.0,0,0.0,
1781684638.611,6,0,320,240,30.0,hybrid,15,0,1,70,True,24.566,24.566,0.983,24.566,24.566,34.5,125.2,50.5,0xd0000,throttled,0.574,8.303,7.977,4.068,21.733,0.0,0.6,0.0,0,240x320x3,0.0,0,0.0,
1781684639.613,7,0,320,240,30.0,hybrid,15,0,1,70,True,21.585,21.585,1.962,21.585,21.585,34.5,125.2,51.5,0xd0000,throttled,0.583,8.72,13.735,4.088,29.331,0.0,0.6,0.0,0,240x320x3,0.0,0,0.0,
1781684640.603,8,0,320,240,30.0,hybrid,15,0,1,70,True,24.766,24.766,0.991,24.766,24.766,34.8,125.2,51.5,0xd0000,throttled,0.607,9.036,7.989,4.048,22.525,0.0,0.6,0.0,0,240x320x3,0.0,0,0.0,
1781684641.626,9,0,320,240,30.0,hybrid,15,0,1,70,True,20.339,20.339,1.937,20.339,20.339,37.9,125.2,51.5,0xd0000,throttled,0.611,10.142,15.689,4.032,33.101,0.0,0.6,0.0,0,240x320x3,0.0,0,0.0,
1781684642.603,10,0,320,240,30.0,hybrid,15,0,1,70,True,23.778,23.778,0.991,23.778,23.778,40.2,125.3,51.5,0xd0000,throttled,0.577,11.675,8.403,3.82,25.474,0.0,0.6,0.0,0,240x320x3,0.0,0,0.0,
1781684643.619,11,0,320,240,30.0,hybrid,15,0,1,70,True,21.521,21.521,1.956,21.521,21.521,39.7,125.3,51.5,0xd0000,throttled,0.588,10.992,13.654,4.015,31.653,0.0,0.6,0.0,0,240x320x3,0.0,0,0.0,
1781684644.742,12,0,320,240,30.0,hybrid,15,0,1,70,True,21.105,21.105,1.759,21.105,21.105,33.3,125.4,52.1,0xd0000,throttled,0.6,7.94,13.586,4.044,28.128,0.0,0.6,0.0,0,240x320x3,0.0,0,0.0,
1781684645.597,13,0,320,240,30.0,hybrid,15,0,1,70,True,20.941,20.941,0.997,20.941,20.941,34.2,125.3,51.5,0xd0000,throttled,0.575,8.269,8.867,4.023,22.706,0.0,0.6,0.0,0,240x320x3,0.0,0,0.0,
1781684646.818,14,0,320,240,30.0,hybrid,15,0,1,70,True,19.691,19.691,1.641,19.691,19.691,32.7,130.7,52.1,0xd0000,throttled,0.584,8.08,17.849,4.059,32.891,0.0,0.6,0.0,0,240x320x3,0.0,0,0.0,
1781684647.607,15,0,320,240,30.0,hybrid,15,0,1,70,True,18.797,18.797,0.989,18.797,18.797,32.8,130.6,52.1,0xd0000,throttled,0.626,7.718,9.319,3.807,22.531,0.0,0.6,0.0,0,240x320x3,0.0,0,0.0,
