timestamp,second,camera_index,width,height,target_fps,mode,infer_skip,model_complexity,max_num_hands,jpeg_quality,video_enabled,camera_fps,process_fps,infer_fps,ws_fps,mjpeg_fps,cpu_percent,memory_mb,temp_c,throttled_raw,throttled_flags,read_ms,preprocess_ms,inference_ms,encode_ms,loop_ms,area,scale,motion,clients,frame_shape,hand_detected,landmark_count,pinch_distance,confidence
1781684949.527,1,0,320,240,30.0,hybrid,3,0,1,70,True,13.948,13.948,3.985,13.948,13.948,29.5,130.8,57.5,0xd0000,throttled,0.608,9.816,31.078,3.841,57.193,1.607,0.6,0.0,0,240x320x3,0.0,0,0.0,
1781684950.627,2,0,320,240,30.0,hybrid,3,0,1,70,True,11.777,11.777,4.529,11.777,11.777,38.9,131.3,57.5,0xd0000,throttled,0.86,8.84,39.242,3.971,71.582,27.423,0.6,0.0,0,240x320x3,0.0,0,0.0,
1781684951.578,3,0,320,240,30.0,hybrid,3,0,1,70,True,11.362,11.362,3.787,11.362,11.362,30.8,131.3,58.0,0xd0000,throttled,0.627,7.547,36.745,3.857,63.711,96.833,0.6,0.0,0,240x320x3,0.0,0,0.0,
1781684952.554,4,0,320,240,30.0,hybrid,3,0,1,70,True,13.567,13.567,3.876,13.567,13.567,32.1,131.4,58.0,0xd0000,throttled,0.605,7.986,31.675,4.155,55.932,0.0,0.6,0.0,0,240x320x3,0.0,0,0.0,
1781684953.666,5,0,320,240,30.0,hybrid,3,0,1,70,True,11.374,11.374,4.374,11.374,11.374,31.5,131.4,58.0,0xd0000,throttled,0.636,7.229,41.165,3.995,71.819,62.692,0.6,0.0,0,240x320x3,0.0,0,0.0,
1781684954.605,6,0,320,240,30.0,hybrid,3,0,1,70,True,11.088,11.088,3.696,11.088,11.088,30.8,131.5,58.0,0xd0000,throttled,0.627,6.624,36.657,3.826,62.331,217.792,0.6,0.0,0,240x320x3,0.0,0,0.0,
1781684955.526,7,0,320,240,30.0,hybrid,3,0,1,70,True,11.96,11.96,3.987,11.96,11.96,32.2,131.5,58.0,0xd0000,throttled,0.62,6.823,35.321,4.187,61.182,0.0,0.6,0.0,0,240x320x3,0.0,0,0.0,
1781684956.687,8,0,320,240,30.0,hybrid,3,0,1,70,True,12.979,12.979,4.326,12.979,12.979,31.1,131.5,58.0,0xd0000,throttled,0.628,6.205,36.236,3.831,61.223,0.0,0.6,0.0,0,240x320x3,0.0,0,0.0,
1781684957.631,9,0,320,240,30.0,hybrid,3,0,1,70,True,10.821,10.821,3.607,10.821,10.821,31.1,131.5,56.9,0xd0000,throttled,0.618,6.736,36.863,4.067,63.013,0.0,0.6,0.0,0,240x320x3,0.0,0,0.0,
1781684958.547,10,0,320,240,30.0,hybrid,3,0,1,70,True,11.735,11.735,3.912,11.735,11.735,30.5,131.5,58.0,0xd0000,throttled,0.625,6.897,35.027,3.836,60.533,0.0,0.6,0.0,0,240x320x3,0.0,0,0.0,
1781684959.684,11,0,320,240,30.0,hybrid,3,0,1,70,True,12.91,12.91,4.303,12.91,12.91,31.4,131.5,58.0,0xd0000,throttled,0.588,7.178,35.379,4.106,61.614,8.167,0.6,0.0,0,240x320x3,0.0,0,0.0,
1781684960.641,12,0,320,240,30.0,hybrid,3,0,1,70,True,10.841,10.841,3.614,10.841,10.841,30.4,131.5,58.0,0xd0000,throttled,0.57,6.22,36.919,3.835,62.095,7.417,0.6,0.0,0,240x320x3,0.0,0,0.0,
1781684961.565,13,0,320,240,30.0,hybrid,3,0,1,70,True,11.519,11.519,3.84,11.519,11.519,36.6,131.5,58.0,0xd0000,throttled,0.584,8.257,35.022,4.184,62.651,65.667,0.6,0.0,0,240x320x3,0.0,0,0.0,
1781684962.637,14,0,320,240,30.0,hybrid,3,0,1,70,True,10.783,10.783,3.594,10.783,10.783,37.0,131.5,58.5,0xd0000,throttled,0.566,8.03,44.211,3.843,74.25,288.542,0.604,0.083,0,240x320x3,0.0,0,0.0,
1781684963.849,15,0,320,240,30.0,hybrid,3,0,1,70,True,4.708,4.708,1.569,4.708,4.708,38.1,131.5,58.0,0xd0005,throttled,0.702,17.613,111.287,8.408,181.243,1036.5,0.642,0.333,0,240x320x3,0.0,0,0.0,
