timestamp,second,camera_index,width,height,target_fps,mode,infer_skip,model_complexity,max_num_hands,jpeg_quality,video_enabled,camera_fps,process_fps,infer_fps,ws_fps,mjpeg_fps,cpu_percent,memory_mb,temp_c,throttled_raw,throttled_flags,read_ms,preprocess_ms,inference_ms,encode_ms,loop_ms,area,scale,motion,clients,frame_shape,hand_detected,landmark_count,pinch_distance,confidence
1781684662.361,1,0,320,240,30.0,hybrid,15,0,1,70,True,22.039,22.039,1.916,22.039,22.039,31.6,124.9,52.1,0xd0000,throttled,0.567,7.566,14.382,3.822,28.398,0.0,0.6,0.0,0,240x320x3,0.0,0,0.0,
1781684663.332,2,0,320,240,30.0,hybrid,15,0,1,70,True,23.804,23.804,0.992,23.804,23.804,35.2,125.0,52.1,0xd0000,throttled,0.724,8.793,8.327,4.338,23.059,0.0,0.6,0.0,0,240x320x3,0.0,0,0.0,
1781684664.317,3,0,320,240,30.0,hybrid,15,0,1,70,True,20.988,20.988,1.999,20.988,20.988,33.1,125.3,52.1,0xd0000,throttled,0.582,8.126,14.19,4.022,29.214,0.0,0.6,0.0,0,240x320x3,0.0,0,0.0,
1781684665.344,4,0,320,240,30.0,hybrid,15,0,1,70,True,24.371,24.371,0.975,24.371,24.371,32.9,125.1,52.1,0xd0000,throttled,0.58,7.917,9.238,3.816,22.394,0.0,0.6,0.0,0,240x320x3,0.0,0,0.0,
1781684666.319,5,0,320,240,30.0,hybrid,15,0,1,70,True,20.947,20.947,1.995,20.947,20.947,33.3,125.4,52.6,0xd0000,throttled,0.577,8.197,14.137,4.025,29.227,0.0,0.6,0.0,0,240x320x3,0.0,0,0.0,
1781684667.318,6,0,320,240,30.0,hybrid,15,0,1,70,True,24.988,24.988,1.0,24.988,24.988,41.1,125.4,52.6,0xd0000,throttled,0.638,11.493,8.319,3.984,25.388,0.0,0.6,0.0,0,240x320x3,0.0,0,0.0,
1781684668.329,7,0,320,240,30.0,hybrid,15,0,1,70,True,21.739,21.739,1.976,21.739,21.739,41.1,125.4,52.6,0xd0000,throttled,0.572,10.829,13.754,3.955,31.505,0.0,0.6,0.0,0,240x320x3,0.0,0,0.0,
1781684669.317,8,0,320,240,30.0,hybrid,15,0,1,70,True,24.999,24.999,1.0,24.999,24.999,39.5,125.4,53.2,0xd0000,throttled,0.581,11.423,7.809,3.817,24.559,0.0,0.6,0.0,0,240x320x3,0.0,0,0.0,
1781684670.329,9,0,320,240,30.0,hybrid,15,0,1,70,True,17.807,17.807,1.979,17.807,17.807,32.2,130.8,53.2,0xd0000,throttled,0.67,8.157,22.574,4.048,39.034,0.0,0.6,0.0,0,240x320x3,0.0,0,0.0,
1781684671.32,10,0,320,240,30.0,hybrid,15,0,1,70,True,24.981,24.981,0.999,24.981,24.981,33.2,130.7,52.6,0xd0000,throttled,0.577,8.549,7.841,3.845,21.63,0.0,0.6,0.0,0,240x320x3,0.0,0,0.0,
1781684672.323,11,0,320,240,30.0,hybrid,15,0,1,70,True,21.9,21.9,1.991,21.9,21.9,33.9,130.7,52.6,0xd0000,throttled,0.595,7.889,13.718,4.027,28.358,0.0,0.6,0.0,0,240x320x3,0.0,0,0.0,
1781684673.348,12,0,320,240,30.0,hybrid,15,0,1,70,True,25.287,25.287,0.973,25.287,25.287,34.9,130.7,52.6,0xd0000,throttled,0.599,8.252,7.779,4.082,21.494,0.0,0.6,0.0,0,240x320x3,0.0,0,0.0,
1781684674.352,13,0,320,240,30.0,hybrid,15,0,1,70,True,20.324,20.324,1.936,20.324,20.324,32.2,130.7,53.7,0xd0000,throttled,0.57,7.714,15.204,3.849,29.68,0.0,0.6,0.0,0,240x320x3,0.0,0,0.0,
1781684675.474,14,0,320,240,30.0,hybrid,15,0,1,70,True,21.666,21.666,1.733,21.666,21.666,33.2,130.8,52.6,0xd0000,throttled,0.57,8.093,12.52,4.096,27.092,0.0,0.6,0.0,0,240x320x3,0.0,0,0.0,
1781684676.33,15,0,320,240,30.0,hybrid,15,0,1,70,True,20.749,20.749,0.988,20.749,20.749,35.5,130.7,52.6,0xd0000,throttled,0.575,8.385,8.969,4.139,23.057,0.0,0.6,0.0,0,240x320x3,0.0,0,0.0,
